Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2012,2012,2012,4,0,1,Import,620,Portugal,PRT,246,Finland,FIN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,21130,,,,21130,,314520,,,2
H4,2012,2012,2012,4,0,2,Export,620,Portugal,PRT,246,Finland,FIN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,1125503,,,,1125503,,4175863,,,2
H4,2012,2012,2012,4,0,1,Import,620,Portugal,PRT,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,1418957,,,,1418957,,17645318,,,2
H4,2012,2012,2012,4,0,2,Export,620,Portugal,PRT,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,60089649,,,,60089649,,145083564,,,2
H4,2012,2012,2012,4,0,2,Export,620,Portugal,PRT,266,Gabon,GAB,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,38037,,,,38037,,53812,,,2
H4,2012,2012,2012,4,0,1,Import,620,Portugal,PRT,268,Georgia,GEO,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,2,,,,2,,289,,,2
H4,2012,2012,2012,4,0,1,Import,620,Portugal,PRT,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,598576,,,,598576,,2056118,,,2
H4,2012,2012,2012,4,0,2,Export,620,Portugal,PRT,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,23025116,,,,23025116,,50318235,,,2
H4,2012,2012,2012,4,0,2,Export,620,Portugal,PRT,288,Ghana,GHA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,9727,,,,9727,,37155,,,2
H4,2012,2012,2012,4,0,2,Export,620,Portugal,PRT,292,Gibraltar,GIB,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,7850,,,,7850,,52281,,,2
